0      -14.72      0.00   9990.88   * 1 *      1 *
0  2017-07-23 23:30:00        5.28      0.00   9990.88       0      1 *
0  2017-07-23 23:35:00       15.28      0.00   9990.88       0      1 *
0  2017-07-23 23:40:00       85.28      0.00   9990.88       0      1 *
0  2017-07-23 23:45:00       55.28      0.00   9990.88       0      1 *
0  2017-07-23 23:50:00        0.00     45.28  10036.16      -1        0
0  2017-07-23 23:55:00        0.00      0.00  10036.16       0        0
0  2017-07-24 00:00:00        0.00      0.00  10036.16       0        0
0  2017-07-24 00:05:00     -114.72      0.00  10036.16   * 1 *      1 *
0  2017-07-24 00:10:00        0.00   -114.72   9921.44      -1        0
0  2017-07-24 00:15:00      -74.72      0.00   9921.44  * -1 *     * -1
0  2017-07-24 00:20:00      -24.72      0.00   9921.44       0     * -1
0  2017-07-24 00:25:00      -24.72      0.00   9921.44       0     * -1
0  2017-07-24 00:30:00      -64.72      0.00   9921.44       0     * -1
0  2017-07-24 00:35:00      -44.72      0.00   9921.44       0     * -1
0  2017-07-24 00:40:00      -34.72      0.00   9921.44       0     * -1
0  2017-07-24 00:45:00        0.00    -34.72   9886.72       1        0
0  2017-07-24 00:50:00        0.00      0.00   9886.72       0        0
0  2017-07-24 00:55:00        0.00      0.00   9886.72       0        0
0  2017-07-24 01:00:00       65.28      0.00   9886.72  * -1 *     * -1
0  2017-07-24 01:05:00        0.00     55.28   9942.00       1        0
0  2017-07-24 01:10:00      125.28      0.00   9942.00   * 1 *      1 *
0  2017-07-24 01:15:00       25.28      0.00   9942.00       0      1 *
0  2017-07-24 01:20:00      105.28      0.00   9942.00       0      1 *
0  2017-07-24 01:25:00      105.28      0.00   9942.00   * 1 *      1 *
0  2017-07-24 01:30:00      135.28      0.00   9942.00   * 1 *      1 *
0  2017-07-24 01:35:00        0.00    135.28  10077.28      -1        0
0  2017-07-24 01:40:00       65.28      0.00  10077.28  * -1 *     * -1
0  2017-07-24 01:45:00      165.28      0.00  10077.28  * -1 *     * -1
0  2017-07-24 01:50:00      205.28      0.00  10077.28       0     * -1
0  2017-07-24 01:55:00      105.28      0.00  10077.28       0     * -1
0  2017-07-24 02:00:00     -184.72      0.00  10077.28  * -1 *     * -1
0  2017-07-24 02:05:00     -104.72      0.00  10077.28       0     * -1
0  2017-07-24 02:10:00      -64.72      0.00  10077.28       0     * -1
0  2017-07-24 02:15:00      -64.72      0.00  10077.28       0     * -1
0  2017-07-24 02:20:00        0.00    -64.72  10012.56       1        0
0  2017-07-24 02:25:00       25.28      0.00  10012.56  * -1 *     * -1
0  2017-07-24 02:30:00        0.00     45.28  10057.84       1        0
0  2017-07-24 02:35:00        0.00      0.00  10057.84       0        0
0  2017-07-24 02:40:00        0.00      0.00  10057.84       0        0
0  2017-07-24 02:45:00        0.00      0.00  10057.84       0        0
0  2017-07-24 02:50:00        0.00      0.00  10057.84       0        0
0  2017-07-24 02:55:00       35.28      0.00  10057.84   * 1 *      1 *
0  2017-07-24 03:00:00        0.00     55.28  10113.12      -1        0
0  2017-07-24 03:05:00        0.00      0.00  10113.12       0        0
0  2017-07-24 03:10:00     -404.72      0.00  10113.12  * -1 *     * -1
0  2017-07-24 03:15:00        0.00   -404.72   9708.40       1        0
0  2017-07-24 03:20:00       45.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 03:25:00       35.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 03:30:00       15.28      0.00   9708.40       0      1 *
0  2017-07-24 03:35:00       35.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 03:40:00      195.28      0.00   9708.40       0      1 *
0  2017-07-24 03:45:00      175.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 03:50:00      125.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 03:55:00      105.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 04:00:00      105.28      0.00   9708.40       0      1 *
0  2017-07-24 04:05:00       75.28      0.00   9708.40       0      1 *
0  2017-07-24 04:10:00       55.28      0.00   9708.40   * 1 *      1 *
0  2017-07-24 04:15:00        0.00     55.28   9763.68      -1        0
0  2017-07-24 04:20:00      -54.72      0.00   9763.68  * -1 *     * -1
0  2017-07-24 04:25:00        0.00    -34.72   9728.96       1        0
0  2017-07-24 04:30:00      -54.72      0.00   9728.96  * -1 *     * -1
0  2017-07-24 04:35:00        0.00    -74.72   9654.24       1        0
0  2017-07-24 04:40:00        0.00      0.00   9654.24       0        0
0  2017-07-24 04:45:00        0.00      0.00   9654.24       0        0
0  2017-07-24 04:50:00      -84.72      0.00   9654.24   * 1 *      1 *
0  2017-07-24 04:55:00     -204.72      0.00   9654.24   * 1 *      1 *
0  2017-07-24 05:00:00     -194.72      0.00   9654.24       0      1 *
0  2017-07-24 05:05:00     -164.72      0.00   9654.24   * 1 *      1 *
0  2017-07-24 05:10:00     -234.72      0.00   9654.24   * 1 *      1 *
0  2017-07-24 05:15:00        0.00   -234.72   9419.52      -1        0
0  2017-07-24 05:20:00      -34.72      0.00   9419.52   * 1 *      1 *
0  2017-07-24 05:25:00      -44.72      0.00   9419.52       0      1 *
0  2017-07-24 05:30:00        0.00    -44.72   9374.80      -1        0
0  2017-07-24 05:35:00      -34.72      0.00   9374.80  * -1 *     * -1
0  2017-07-24 05:40:00        0.00    -54.72   9320.08       1        0
0  2017-07-24 05:45:00        5.28      0.00   9320.08  * -1 *     * -1
0  2017-07-24 05:50:00       -4.72      0.00   9320.08       0     * -1
0  2017-07-24 05:55:00        0.00    -14.72   9305.36       1        0
0  2017-07-24 06:00:00        0.00      0.00   9305.36       0        0
0  2017-07-24 06:05:00      -24.72      0.00   9305.36  * -1 *     * -1
0  2017-07-24 06:10:00        0.00    -34.72   9270.64       1        0
0  2017-07-24 06:15:00        0.00      0.00   9270.64       0        0
0  2017-07-24 06:20:00        0.00      0.00   9270.64       0        0
0  2017-07-24 06:25:00      -14.72      0.00   9270.64   * 1 *      1 *
0  2017-07-24 06:30:00        0.00    -14.72   9255.92      -1        0
0  2017-07-24 06:35:00      -64.72      0.00   9255.92  * -1 *     * -1
0  2017-07-24 06:40:00        0.00    -64.72   9191.20       1        0
0  2017-07-24 06:45:00        0.00      0.00   9191.20       0        0
0  2017-07-24 06:50:00        0.00      0.00   9191.20       0        0
0  2017-07-24 06:55:00      -24.72      0.00   9191.20   * 1 *      1 *
0  2017-07-24 07:00:00        0.00    -34.72   9156.48      -1        0
0  2017-07-24 07:05:00        0.00      0.00   9156.48       0        0
0  2017-07-24 07:10:00        0.00      0.00   9156.48       0        0
0  2017-07-24 07:15:00      -34.72      0.00   9156.48  * -1 *     * -1
0  2017-07-24 07:20:00      -14.72      0.00   9156.48       0     * -1
0  2017-07-24 07:25:00       65.28      0.00   9156.48       0     * -1
0  2017-07-24 07:30:00       55.28      0.00   9156.48       0     * -1
0  2017-07-24 07:35:00        0.00     55.28   9211.76       1        0
0  2017-07-24 07:40:00        0.00      0.00   9211.76       0        0
0  2017-07-24 07:45:00        0.00      0.00   9211.76       0        0
0  2017-07-24 07:50:00        0.00      0.00   9211.76       0        0
0  2017-07-24 07:55:00        0.00      0.00   9211.76       0        0
0  2017-07-24 08:00:00      -24.72      0.00   9211.76   * 1 *      1 *
0  2017-07-24 08:05:00       45.28      0.00   9211.76       0      1 *
0  2017-07-24 08:10:00        0.00     35.28   9247.04      -1        0
0  2017-07-24 08:15:00      -44.72      0.00   9247.04  * -1 *     * -1
0  2017-07-24 08:20:00      -44.72      0.00   9247.04  * -1 *     * -1
0  2017-07-24 08:25:00       -4.72      0.00   9247.04       0     * -1
0  2017-07-24 08:30:00        0.00     -4.72   9242.32       1        0
0  2017-07-24 08:35:00       25.28      0.00   9242.32  * -1 *     * -1
0  2017-07-24 08:40:00       65.28      0.00   9242.32  * -1 *     * -1
0  2017-07-24 08:45:00        0.00     65.28   9307.60       1        0
0  2017-07-24 08:50:00      -44.72      0.00   9307.60   * 1 *      1 *
0  2017-07-24 08:55:00        0.00    -24.72   9282.88      -1        0
0  2017-07-24 09:00:00        0.00      0.00   9282.88       0        0
0  2017-07-24 09:05:00        0.00      0.00   9282.88       0        0
0  2017-07-24 09:10:00       -4.72      0.00   9282.88   * 1 *      1 *
0  2017-07-24 09:15:00       15.28      0.00   9282.88       0      1 *
0  2017-07-24 09:20:00        0.00     15.28   9298.16      -1        0
0  2017-07-24 09:25:00        5.28      0.00   9298.16  * -1 *     * -1
0  2017-07-24 09:30:00       25.28      0.00   9298.16       0     * -1
0  2017-07-24 09:35:00       55.28      0.00   9298.16       0     * -1
0  2017-07-24 09:40:00      -14.72      0.00   9298.16       0     * -1
0  2017-07-24 09:45:00      -34.72      0.00   9298.16  * -1 *     * -1
0  2017-07-24 09:50:00        0.00    -24.72   9273.44       1        0
0  2017-07-24 09:55:00      -14.72      0.00   9273.44  * -1 *     * -1
0  2017-07-24 10:00:00      -54.72      0.00   9273.44  * -1 *     * -1
0  2017-07-24 10:05:00      -84.72      0.00   9273.44  * -1 *     * -1
0  2017-07-24 10:10:00        0.00    -74.72   9198.72       1        0
0  2017-07-24 10:15:00      -14.72      0.00   9198.72   * 1 *      1 *
0  2017-07-24 10:20:00       -4.72      0.00   9198.72       0      1 *
